BEZNR,area_km2,length_km,lane_density_km_per_km2,pedestz_density,residz_density,park_density,daily_cyclists_est
1.0,2.86874956568783,27.420422991099294,9.5583188295925,0.042620148135799195,0.004627900417786418,0.11960980946915321,3478.2350577696716
2.0,19.241799345542,80.40171413042226,4.178492493689266,0.002111235128104354,0.0017241209272870186,0.30751097703234254,3664.9936588870555
3.0,7.402973179185956,28.800507273897402,3.8903973547914914,0.0004020116864101914,0.001561364798366064,0.09244931696433614,2695.0016827183604
4.0,1.7763234136426256,8.905052875525831,5.01319343489632,,0.00794399980535631,0.06361277621316905,3636.188778117162
5.0,2.0116203313407035,13.633585551046146,6.777414872298314,0.003034828011945006,0.013302418362869765,0.05241636747754196,428.71309999450705
6.0,1.4550707490828119,9.362921832338277,6.434684937650003,0.008494371990655405,0.011862269751145878,0.036554149638551824,983.5845766707571
7.0,1.608232654273389,9.0251752449527,5.611859217614469,0.0077925522592201075,0.007303446679445721,0.03817848998234178,2015.4553037135754
8.0,1.0899310831522502,5.642484728113427,5.1769188119623895,0.0018678920208991094,0.008319707055216756,0.03285879677125929,1774.9802472077915
9.0,2.967357614822387,13.86439657588214,4.672303906555598,0.004020327183777352,0.004269470474421157,0.08349921814274551,2117.0761161100413
10.0,31.815587320592396,112.61791787855512,3.5397089088361424,0.0022976776019119826,0.0002856594821125516,0.19005333470597047,1990.2919922628741
11.0,23.256132667985998,60.571247991167176,2.6045279692847876,4.2491597710981604e-05,0.0012328747231206303,0.07771242643010941,1803.4422894988475
12.0,8.10903566664666,36.53826510689695,4.505870563275826,0.002474680255130458,0.004243144318263122,0.038257275924021436,1495.0577030851478
13.0,37.71223701441136,42.30777783786766,1.1218580807524137,,0.0010093148175390537,0.6515644173718215,1636.7729384008614
14.0,33.75984257555285,50.49380775922603,1.4956766355240962,0.00015750887932875347,0.00024136788473993535,0.5699250080587499,1606.8550997926027
15.0,3.918382937263217,15.025384491601615,3.834588076809065,0.00290349152888751,0.007541104776857468,0.06574908570112822,1615.3030955547547
16.0,8.67298570543867,17.84102998031457,2.0570805240837404,0.0019912536876717088,0.003421277211252792,0.1910395643728653,1937.3040480842144
17.0,11.39638135715166,16.931207516796093,1.4856652288290721,0.00013446079733899532,0.0007725791359608124,0.4650256850993336,1983.707355601806
18.0,6.346795319658555,13.267002171602453,2.0903466243049085,0.0005170750303718886,0.0036523600416253467,0.21094262909302755,1986.6616620702437
19.0,24.94392591242636,50.84905992802326,2.038534756178525,,0.00037863387034051425,0.3393515324782819,1559.4817914401037
20.0,5.710430641311376,30.559790852564415,5.351573772997703,0.0005640403705986594,0.005835951141447851,0.11166524727528429,1340.247190509516
21.0,44.442810382097235,148.31358016611932,3.3371782497774722,0.0002630255475505726,0.00015611077070286432,0.1682960760518666,1721.523712656821
22.0,102.2985029403926,238.7841661756207,2.3341902306699027,0.0002562077446794131,0.00036161374303135985,0.33574593424527344,1521.375842387805
23.0,32.06148402709286,77.8414467542395,2.42788034042533,,0.0005308601404137152,0.22972005966852044,525.4715686730334
