Quarters,AvgEmissionsSavings,StdEmissionsSavings,Label
1,74.47749999999999,1.9616330356788647,"Informative-all, Gradual, Not-Implemented"
2,76.07916666666667,1.1325493612004551,"Informative-all, Gradual, Not-Implemented"
3,76.07916666666667,1.1325493612004551,"Informative-all, Gradual, Not-Implemented"
4,76.88,1.9616330356788647,"Informative-all, Gradual, Not-Implemented"
5,80.08333333333333,1.1325493612004551,"Informative-all, Gradual, Not-Implemented"
6,80.08333333333333,1.1325493612004551,"Informative-all, Gradual, Not-Implemented"
7,81.68499999999999,1.961633035678859,"Informative-all, Gradual, Not-Implemented"
8,82.48583333333333,2.2650987224009036,"Informative-all, Gradual, Not-Implemented"
9,82.48583333333333,2.2650987224009036,"Informative-all, Gradual, Not-Implemented"
10,83.28666666666666,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
11,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
12,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
13,84.08749999999999,3.923266071357723,"Informative-all, Gradual, Not-Implemented"
14,85.68916666666667,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
15,85.68916666666667,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
16,85.68916666666667,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
17,85.68916666666667,2.9964439572414627,"Informative-all, Gradual, Not-Implemented"
18,87.29083333333334,2.2650987224009103,"Informative-all, Gradual, Not-Implemented"
19,87.29083333333334,2.2650987224009103,"Informative-all, Gradual, Not-Implemented"
20,88.09166666666665,2.996443957241464,"Informative-all, Gradual, Not-Implemented"
21,88.09166666666665,2.996443957241464,"Informative-all, Gradual, Not-Implemented"
22,88.09166666666665,2.996443957241464,"Informative-all, Gradual, Not-Implemented"
23,88.09166666666665,2.996443957241464,"Informative-all, Gradual, Not-Implemented"
24,89.69333333333333,4.083464793802221,"Informative-all, Gradual, Not-Implemented"
25,90.49416666666666,4.530197444801814,"Informative-all, Gradual, Not-Implemented"
26,91.295,5.189993175974962,"Informative-all, Gradual, Not-Implemented"
27,92.09583333333332,5.66274680600227,"Informative-all, Gradual, Not-Implemented"
28,92.09583333333332,5.66274680600227,"Informative-all, Gradual, Not-Implemented"
29,93.69749999999999,7.0727684937842215,"Informative-all, Gradual, Not-Implemented"
