Quarters,AvgAdoptionRate,StdAdoptionRate,Label
1,0.062,0.0016329931618554536,"Informative-all, Gradual, Not-Implemented"
2,0.06333333333333334,0.0009428090415820641,"Informative-all, Gradual, Not-Implemented"
3,0.06333333333333334,0.0009428090415820641,"Informative-all, Gradual, Not-Implemented"
4,0.064,0.0016329931618554536,"Informative-all, Gradual, Not-Implemented"
5,0.06666666666666667,0.0009428090415820641,"Informative-all, Gradual, Not-Implemented"
6,0.06666666666666667,0.0009428090415820641,"Informative-all, Gradual, Not-Implemented"
7,0.068,0.0016329931618554536,"Informative-all, Gradual, Not-Implemented"
8,0.06866666666666667,0.0018856180831641283,"Informative-all, Gradual, Not-Implemented"
9,0.06866666666666667,0.0018856180831641283,"Informative-all, Gradual, Not-Implemented"
10,0.06933333333333334,0.0024944382578492917,"Informative-all, Gradual, Not-Implemented"
11,0.07,0.0032659863237109016,"Informative-all, Gradual, Not-Implemented"
12,0.07,0.0032659863237109016,"Informative-all, Gradual, Not-Implemented"
13,0.07,0.0032659863237109016,"Informative-all, Gradual, Not-Implemented"
14,0.07133333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
15,0.07133333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
16,0.07133333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
17,0.07133333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
18,0.07266666666666667,0.0018856180831641218,"Informative-all, Gradual, Not-Implemented"
19,0.07266666666666667,0.0018856180831641218,"Informative-all, Gradual, Not-Implemented"
20,0.07333333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
21,0.07333333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
22,0.07333333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
23,0.07333333333333333,0.0024944382578492904,"Informative-all, Gradual, Not-Implemented"
24,0.07466666666666667,0.0033993463423951866,"Informative-all, Gradual, Not-Implemented"
25,0.07533333333333334,0.00377123616632825,"Informative-all, Gradual, Not-Implemented"
26,0.076,0.004320493798938571,"Informative-all, Gradual, Not-Implemented"
27,0.07666666666666667,0.004714045207910314,"Informative-all, Gradual, Not-Implemented"
28,0.07666666666666667,0.004714045207910314,"Informative-all, Gradual, Not-Implemented"
29,0.078,0.005887840577551896,"Informative-all, Gradual, Not-Implemented"
30,0.07866666666666668,0.006182412330330469,"Informative-all, Gradual, Not-Implemented"
31,0.07866666666666668,0.006182412330330469,"Informative-all, Gradual, Not-Implemented"
