Quarters,District,TotalAgents,Adopters,AdoptionRate,Label
1,22.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,10.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,11.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,23.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,7.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,3.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,18.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,20.0,3.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,21.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,16.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,4.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,14.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,9.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,19.0,11.0,1.0,0.09090909090909091,"Informative-all, Gradual, Not-Implemented"
1,1.0,5.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,13.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,15.0,8.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,12.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
1,2.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,5.0,8.0,1.0,0.125,"Informative-all, Gradual, Not-Implemented"
1,8.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
1,17.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
1,6.0,4.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,22.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,10.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,11.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,23.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,7.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,3.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,18.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,20.0,3.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,21.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,16.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,4.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,14.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,9.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,19.0,11.0,1.0,0.09090909090909091,"Informative-all, Gradual, Not-Implemented"
2,1.0,5.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,13.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,15.0,8.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,12.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
2,2.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,5.0,8.0,1.0,0.125,"Informative-all, Gradual, Not-Implemented"
2,8.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
2,17.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
2,6.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
3,22.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,10.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,11.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,23.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,7.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,3.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,18.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,20.0,3.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,21.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,16.0,0.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,4.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,14.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,9.0,2.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,19.0,11.0,1.0,0.09090909090909091,"Informative-all, Gradual, Not-Implemented"
3,1.0,5.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,13.0,1.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,15.0,8.0,0.0,0.0,"Informative-all, Gradual, Not-Implemented"
3,12.0,4.0,1.0,0.25,"Informative-all, Gradual, Not-Implemented"
